title,authors,pubdate,tags,#grrating,#grvotes,#wordcount,#pagecount,size,publisher
"A Good Day to Die","Simon Kernick","2005-06-01T03:00:00-04:00","Police Procedural, Fiction, Crime, Action, Adventure, Thrillers, General, Suspense, Mystery, Detective","4.09","1971","102643","334","350777","Corgi"
"The Red Tent","Anita Diamant","1997-01-01T03:00:00-05:00","Fiction:Religous, Adult, Feminism, Religion, Historical","4.21","633250","110980","332","302916","Picador"
"I Who Have Never Known Men","Jacqueline Harpman","1995-01-01T03:00:00-05:00","Friendship, Science Fiction, Classics, Fiction, Dystopian, Feminist, Literary, General, Adult, Fantasy, Horror, Women, bookclub, read_author, World Literature, Apocalyptic, Post-Apocalyptic, Feminism","4.07","556944","58381","170","2530662","Random House"
"Love You More","Lisa Gardner","2011-03-08T03:00:00-05:00","Fiction, Mystery, Crime, General, Suspense, Adult, Thriller, Detective","4.18","55436","110098","425","451127","Charnwood"
"Marrow","Robert Reed","2000-01-01T03:00:00-05:00","Fantasy, Science-Fiction, Mystery, Science Fiction","3.86","2475","132193","514","370093","Orbit"
"Stone's Fall","Iain Pears","2009-05-05T03:00:00-04:00","Mystery, Crime, Historical, Fiction:Historical","3.87","8749","242064","803","743938","Spiegel & Grau"
"The Dream of Scipio","Iain Pears","2002-01-01T03:00:00-05:00","Mystery, Historical, Philosophy, Fiction:Historical","3.76","4527","140777","437","770575","Riverhead Books"
"Child 44","Tom Rob Smith","2008-04-29T03:00:00-04:00","Fiction:Suspense, Historical, Thriller, Mystery, Crime, Suspense","4.11","87978","129757","442","468786","Grand Central Pub."
"God Emperor of Dune","Frank Herbert","1981-05-01T03:00:00-04:00","Science, Classics, Science Fiction, Religion, Philosophy, Adventure, Fantasy, read_author","3.88","147410","139259","806","476477","Ace Books"
"Chapterhouse: Dune","Frank Herbert","1985-04-01T03:00:00-05:00","Science, Classics, Science Fiction, Adventure, Fantasy, read_author","3.86","83767","143035","822","761706","Ace Books"
"Heretics of Dune","Frank Herbert","1984-04-01T03:00:00-05:00","Science, Classics, Science Fiction, Adventure, Fantasy, read_author","3.85","102886","164886","655","644753","Ace"
"Children of Dune","Frank Herbert","1976-04-21T02:00:00-05:00","Science Fiction, Fantasy, Science, Adventure, Adult, Philosophy, Politics, read_author","3.96","227548","148641","533","488499","Berkley Pub. Corp. : distributed by Putnam"
"The Evolution of Useful Things: How Everyday Artifacts-From Forks and Pins to Paper Clips and Zippers-Came to Be as They Are","Henry Petroski","1994-05-10T03:00:00-04:00","History, Science, Reference","3.52","1374","97529","307","3489650","Vintage"
"Deranged: The Shocking True Story of America's Most Fiendish Killer","Harold Schechter","1990-10-01T03:00:00-04:00","Crime, History, Biography, Mystery, Horror, Psychology, Thriller","3.96","3108","91562","286","729351","Pocket Books"
"Batman and Philosophy: The Dark Knight of the Soul","Mark D. White","2008-06-23T03:00:00-04:00","Comics, Philosophy","3.76","2126","88244","296","305549","Wiley"
"The Little Stranger","Sarah Waters","2009-04-30T03:00:00-04:00","Horror, Mystery, Paranormal, Historical","3.57","59895","172981","540","459941","McClelland & Stewart"
"Dead Space: Martyr","B. K. Evenson","2010-01-01T03:00:00-05:00","Horror, Science Fiction, Fantasy, Adult, Science-Fiction","3.86","2858","100210","369","367540","Tor Books"
"Every Patient Tells a Story: Medical Mysteries and the Art of Diagnosis","Lisa Sanders","2009-01-01T03:00:00-05:00","Health, Non-Fiction, Biography, Science","3.96","8603","102099","314","361762","Harmony"
"Wench","Dolen Perkins-Valdez","2010-01-01T03:00:00-05:00","Adult, Historical, Fiction:Historical","3.73","18464","78255","271","328271","Amistad"
"Common Ground: A Turbulent Decade in the Lives of Three American Families","J. Anthony Lukas","1985-08-12T03:00:00-04:00","Social History, Politics, Sociology, Biography, History, Social Science, POLITICAL SCIENCE","4.32","2767","329916","1039","2928569","Vintage"
"The Hunger Games","Suzanne Collins","2008-03-15T12:30:07-04:00","Fantasy, Young Adult, Adventure, Science-Fiction, Romance, Science Fiction, Family, Magic, General, Fiction, Performing Arts, Dystopian, Young Adult Fiction, Juvenile Fiction, Social Themes, Action","4.35","9985515","73935","268","540477","Scholastic Press"
"The Atlantis Code","Charles Brokaw","2009-01-01T03:00:00-05:00","Fiction, Adventure, Fiction:Suspense, Fantasy, Suspense, Thriller, Historical, Mystery","3.73","6854","131934","527","396139","Macmillan"
"Bangkok Haunts","John Burdett","2007-01-01T03:00:00-05:00","Crime, Contemporary, Mystery, Thriller, Fiction:Detective","3.76","3907","105372","336","353984","Vintage Crime/Black Lizard"
"The Godfather of Kathmandu: A Royal Thai Detective Novel","John Burdett","2009-10-13T03:00:00-04:00","Suspense, Crime, Fiction, Mystery, Thriller","3.79","2723","109406","331","416896","Vintage Crime/Black Lizard"
"Bangkok 8","John Burdett","2003-04-15T09:04:00-04:00","Travel, Adult, Fiction:Suspense, Crime, Thriller, Mystery","3.75","10915","119712","371","395064","Knopf"
"A Wizard’s Guide to Defensive Baking","T. Kingfisher","2020-04-15T09:52:16-04:00","Fantasy, Young Adult, Mystery, Humour, Adventure, Science Fiction, Childrens","4.07","57223","81669","285","662525","Argyll Productions"
"Hannibal","Thomas Harris","1999-06-08T03:00:00-04:00","Suspense, Horror, Thriller, Adult, Mystery, Crime","3.82","117887","123358","342","469284","Arrow"
"Red Dragon","Thomas Harris","1981-10-01T03:00:00-04:00","Classics, Fiction, Mystery, Crime, Thrillers, General, Horror, Thriller, Suspense, Detective, Psychological","4.07","358774","103379","274","352589","Berkley"
"The Silence of the Lambs","Thomas Harris","1988-07-01T03:00:00-04:00","Suspense, Classics, Horror, Thriller, Mystery, Crime","4.26","590829","97164","261","352455","Arrow Books"
"The Secret History of Rock: The Most Influential Bands You've Never Heard","Roni Sarig","1998-08-01T03:00:00-04:00","Autobiography, History, Reference, Music","3.94","135","136162","333","584913","Billboard Books"
"The President's Daughter","Mariah Stewart","2002-01-01T03:00:00-05:00","Suspense, Crime, Romance, Adult, Contemporary, Mystery, Fiction:Suspense, Thriller","4.0","1266","97826","377","398439","Ballantine Books"
"Until Dark","Mariah Stewart","2003-01-01T03:00:00-05:00","Suspense, Crime, Romance, Contemporary, Mystery, Fiction:Suspense, Thriller","4.04","1205","101221","378","279930","Ballantine Books"
"Dead Even","Mariah Stewart","2004-08-03T03:00:00-04:00","Suspense, Crime, Romance, Adult, Mystery, Fiction:Suspense, Thriller","4.12","2556","89746","340","367741","Ballantine Books"
"Wiseguy","Nicholas Pileggi","1985-01-01T03:00:00-05:00","Fiction, General, Autobiography, Contemporary, True Crime, Media Tie-In, Biography, History, Crime, Mystery","4.24","20339","88794","248","280293","Pocket Books"
"Dead Certain","Mariah Stewart","2004-06-29T03:00:00-04:00","Suspense, Crime, Romance, Contemporary, Mystery, Fiction:Suspense, Thriller","4.12","3095","97128","365","287456","Ballantine Books"
"I Do Not Come to You by Chance","Adaobi Tricia Nwaubani","2009-01-01T03:00:00-05:00","Fiction, General, Crime, Literary, Cultural Heritage, Literary Collections","3.93","3612","106375","383","448688","Phoenix"
