authors,title,#grscore,#votes,#pagecount,#wordcount
"Stuart Woods","Palindrome","4.07","5161","317","86458"
"Flannery O'Connor","Everything That Rises Must Converge","4.23","21579","293","92432"
"Emily Dickinson","The Collected Poems of Emily Dickinson","4.23","15477","260","53606"
"J. Maarten Troost","The Sex Lives of Cannibals: Adrift in the Equatorial Pacific","3.87","25748","263","85653"
"P. D. James","The Children of Men","3.67","50479","240","92359"
"W. Bruce Cameron","A Dog's Purpose","4.35","137389","278","84205"
"Julie Kagawa","The Iron King","3.87","216655","342","101396"
"Robert A. Heinlein","The Door Into Summer","4.02","27854","223","66427"
"Richard W. Wrangham","Catching Fire: How Cooking Made Us Human","3.88","3994","292","77109"
"A. Lee Martinez","A Nameless Witch","3.89","5033","295","77144"
"Edwin A. Abbott","Flatland","3.81","74704","103","34195"
"Franz Kafka","The Metamorphosis and Other Stories","3.89","1294596","212","75419"
"Sylvia Day","Eve of Darkness","3.65","5346","340","85110"
"Colin Dexter","Death Is Now My Neighbor","4.08","4871","330","78487"
"James Herbert","'48","3.75","3742","334","107135"
"Joyce Maynard","The Good Daughters","3.87","19129","278","87670"
"Lore & Pittacus Lore","I Am Number Four","3.94","348230","353","101277"
"Jerry Weintraub","When I Stop Talking, You'll Know I'm Dead: Useful Stories From a Persuasive Man","4.13","4261","243","76655"
"Anne Frank","The Diary of a Young Girl","4.2","4010906","340","102699"
"Aldous Huxley","Brave New World","3.99","1975868","221","63876"
"William Golding","Lord of the Flies","3.7","3078377","274","62366"
"Jean Kwok","Girl in Translation","3.99","57733","286","86339"
"Maya Angelou","I Know Why the Caged Bird Sings","4.3","560246","252","82221"
"Zoë Ferraris","Finding Nouf","3.8","9822","354","104245"
"Anne Michaels","Fugitive Pieces","3.92","16999","218","69458"
"Paul Greenberg","Four Fish: The Future of the Last Wild Food","4.05","6778","286","88156"
"Edgar Rice Burroughs","Tarzan of the Apes: Edgar Rice Burroughs Authorized Library #1","3.9","46758","338","99819"
"Graham Moore","The Sherlockian","3.66","14848","383","112519"
"Po Bronson & Ashley Merryman","NurtureShock: New Thinking About Children","4.03","26422","330","95444"
"Tom Franklin","Crooked Letter, Crooked Letter","3.83","45710","326","89985"
"Nevada Barr","Track of the Cat","3.84","21758","266","76189"
"David Cristofano","The Girl She Used to Be","3.52","4986","266","75020"
"B. V. Larson","Mech 2","3.72","973","320","90276"
"Bill Bryson","Notes From a Small Island","3.91","116786","279","105465"
"Paul Rusesabagina & Tom Zoellner","An Ordinary Man","4.19","6699","207","70384"
"Louann Brizendine","The Male Brain: A Breakthrough Understanding of How Men and Boys Think","3.82","5597","319","86667"
"Anne Brontë","Agnes Grey","3.71","77125","267","86387"
"Mary Wollstonecraft Shelley","Frankenstein","3.89","1739232","230","96880"
"Gyles Brandreth","Oscar Wilde and the Candlelight Murders","3.64","3752","307","89228"
"Mackenzie Phillips","High on Arrival","3.84","9186","278","99977"
"Lisa Genova","Still Alice","4.32","353127","285","76567"
"Christian Cantrell","Containment","3.74","6321","247","76413"
"Frances Mayes","Every Day in Tuscany: Seasons of an Italian Life","3.54","3289","256","83754"
"Julie Buxbaum","After You","3.76","4184","301","89686"
"Christopher Priest","The Prestige","3.92","23797","302","118759"
"J. D. Robb","Indulgence in Death","4.36","29710","405","103627"
"Neil Degrasse Tyson","Death by Black Hole: And Other Cosmic Quandaries","4.1","31659","340","107329"
"Juan Gómez-Jurado & Juan","Contract With God","3.72","4437","390","101740"
"James A. Levine","The Blue Notebook","3.78","4222","174","65322"
"Charles P. Pierce","Idiot America: How Stupidity Became a Virtue in the Land of the Free","3.71","4180","259","87492"
"Ninni Holmqvist","The Unit","3.76","11344","233","74846"
"Imre Kertész","Fatelessness","4.08","12811","213","80951"
"Jeanne DuPrau","The City of Ember","3.9","292953","196","60705"
"Laurie A. Helgoe","Introvert Power: Why Your Inner Life Is Your Hidden Strength","3.84","5763","242","75251"
"David Lodge","Deaf Sentence","3.75","4697","322","109167"
"Sophie Hannah","The Truth-Teller's Lie","3.69","6812","403","117529"
"Natsume Sōseki","Kokoro","4.04","37828","237","73509"
"Lisa Sanders","Every Patient Tells a Story: Medical Mysteries and the Art of Diagnosis","3.96","8603","314","102099"
"Ann Brashares","My Name Is Memory","3.72","34056","326","96993"
"Gin Phillips","The Well and the Mine","3.77","3701","270","83015"
"David Downing","Zoo Station","3.88","7181","326","92035"
"Ian Douglas","Earth Strike","3.8","5985","406","108115"
"John Wyndham","The Midwich Cuckoos","3.9","27833","235","67659"
"Kim Edwards","The Memory Keeper's Daughter","3.7","607568","459","139450"
"Kate White","Hush","3.5","4944","371","103743"
"Yōko Ogawa","The Housekeeper and the Professor","4.05","88010","126","50189"
"Yōko Ogawa","The Diving Pool: Three Novellas","3.68","8384","91","36679"
"Kathleen Kent","The Heretic's Daughter","3.79","36759","277","102509"
"Jasper Fforde","The Last Dragonslayer","3.88","22651","225","59613"
"Joanne Fluke","Chocolate Chip Cookie Murder","3.69","68339","382","113702"
"Gillian Flynn","Dark Places","3.95","803148","387","121999"
"Richard Phillips Feynman & Ralph Leighton","Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character","4.27","210651","312","126641"
"Nick Hornby","Fever Pitch","3.77","42691","230","81057"
"David Ebershoff","The Danish Girl","3.76","24542","323","102785"
"Joseph Finder","Vanished","3.84","11074","430","106562"
"Laurie Faria Stolarz","Deadly Little Secret","3.86","22887","216","51580"
"Robert M. Pirsig","Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values","3.78","239345","470","141743"
"Pamela Callow","Damaged","4.13","10117","437","113025"
"Sara Paretsky","Body Work","3.92","6840","460","135808"
"Willa Cather","My Antonia","3.84","143430","283","95472"
"Ian C. Esslemont","Night of Knives","3.82","14910","305","87189"
"Robert K. Wittman & John Shiffman","Priceless: How I Went Undercover to Rescue the World's Stolen Treasures","3.83","10151","322","97648"
"Barack Obama","The Audacity of Hope: Thoughts on Reclaiming the American Dream","3.83","167813","328","119245"
"Mary Monroe","God Don't Like Ugly","4.35","10320","420","130008"
"John Verdon","Think of a Number","3.88","37526","459","123360"
"Mary Karr","Lit","3.94","27882","391","117697"
"Lisa See","Snow Flower and the Secret Fan","4.09","380914","298","102342"
"Simon Kernick","The Last 10 Seconds","4.07","3588","315","94302"
"John Kennedy Toole","A Confederacy of Dunces","3.89","288655","411","127750"
"Robin McKinley","Pegasus","3.63","9308","395","130548"
"Sara Poole","Poison","3.77","4948","381","112664"
"Octavia E. Butler","Fledgling","3.81","36602","381","110829"
"Harper Lee","To Kill a Mockingbird","4.26","6587272","358","100081"
"Jenna Blum","Those Who Save Us","4.11","102581","470","130355"
"Brian Greene","The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory","4.1","100341","384","135224"
"Miranda July","No One Belongs Here More Than You","3.8","43149","155","49260"
"Tom Rob Smith","Child 44","4.11","87978","442","129757"
"Andrea Levy","The Long Song","3.79","11009","297","96972"
"Josh Bazell","Beat the Reaper","3.78","16781","273","71926"
"Boyd Morrison","The Ark","3.86","6276","466","129506"
"Tess Gerritsen","Girl Missing","3.78","14779","258","62062"
"Diane Ravitch","The Death and Life of the Great American School System: How Testing and Choice Are Undermining Education","4.05","5644","368","106053"
"David Nicholls","One Day","3.86","392094","477","131251"
"Joe Hill","Heart-Shaped Box","3.84","146761","371","111619"
"James L. Rubart","Rooms","3.88","5313","382","100169"
"Dale Carnegie","How to Win Friends and Influence People","4.22","1090531","490","79154"
"Liz Murray","Breaking Night: A Memoir of Forgiveness, Survival, and My Journey From Homeless to Harvard","4.22","21638","413","136068"
"Diane Setterfield","The Thirteenth Tale","3.98","321390","426","129581"
"Lisa Unger","Black Out","3.68","7770","325","100870"
"Gudenkauf Heather","The Weight of Silence","3.95","48633","294","93302"
"Armistead Maupin","Mary Ann in Autumn","4.05","6969","292","71890"
"Oliver Bowden","Assassin's Creed: Renaissance","3.72","18794","434","113173"
"John Hart","The King of Lies","3.93","13931","421","121191"
"Kevin Roose","The Unlikely Disciple: A Sinner's Semester at America's Holiest University","3.98","12176","363","113665"
"Robert Ludlum & James H. Cobb & Robert & Cobb & James","Robert Ludlum's the Arctic Event","4.06","6143","334","125889"
"Charles Brokaw","The Atlantis Code","3.73","6854","527","131934"
"Jilliane Hoffman","Pretty Little Things","4.04","6606","355","108097"
"Lorenzo Carcaterra","Sleepers","4.27","16634","398","105012"
"Nathan Lowell","Quarter Share","4.17","10230","285","79894"
"David Brin","The Postman","3.89","36743","343","92822"
"Louis Bayard","Pale Blue Eye","3.8","10024","495","139371"
"Avi Steinberg","Running the Books: The Adventures of an Accidental Prison Librarian","3.51","4298","371","116981"
"J. R. Moehringer","The Tender Bar","3.99","44274","475","144037"
"Edward O. Wilson","Anthill: A Novel","","","306","97240"
"Dan Chaon","Await Your Reply","3.54","16083","254","98445"
"Kamila Shamsie","Burnt Shadows","3.93","8379","402","120565"
"Lisa Grunwald","The Irresistible Henry House","3.55","6292","435","119982"
"Audrey Niffenegger","The Time Traveler's Wife","4.0","1834265","509","156989"
"Hugh Lofting","The Voyages of Doctor Dolittle","3.99","17357","234","74462"
"Hugh Lofting","The Story of Doctor Dolittle","3.96","50991","89","26797"
"David Weber","Out of the Dark","3.51","5796","481","144183"
"R. K. Narayan","The Ramayana: A Shortened Modern Prose Version of the Indian Epic","4.07","12914","188","60959"
"Gregory A. Freeman","The Forgotten 500: The Untold Story of the Men Who Risked All for the Greatest Rescue Mission of World War II","4.08","12679","339","109163"
"Deepak Chopra","Reinventing the Body, Resurrecting the Soul: How to Create a New You","3.86","4016","236","93360"
"Robert Reed","Mallow","","","514","132193"
"Camilla Gibb","Sweetness in the Belly","3.91","9421","309","89090"
"Rose Tremain","Trespass","3.58","5056","297","88074"
"Kathryn Stockett","The Help","4.46","2930489","570","160821"
"Alexey Pehov & Алексей Пехов","Shadow Prowler","3.99","3430","510","144984"
"Isabel Allende","Island Beneath the Sea","4.11","44841","452","151496"
"Mira Grant","Feed","3.85","60572","509","150661"
"Damon Galgut","In a Strange Room: Three Journeys","3.65","4685","173","57093"
"Sinclair Lewis","Babbitt","3.69","24342","443","137690"
"Daniel Kehlmann","Measuring the World","3.73","20886","254","74202"
"Sandra Brown","Tough Customer","4.09","20779","475","119061"
"N. K. Jemisin","The Hundred Thousand Kingdoms","3.89","79234","395","110891"
"James Lee Burke","Rain Gods","4.05","6028","552","148727"
"Kate Griffin","The Midnight Mayor","4.14","4137","531","145321"
"Philipp Meyer","American Rust","3.72","13018","404","125673"
"Arthur Slade","The Hunchback Assignments","3.63","3613","224","63768"
"Thomas Pynchon","V.","3.97","24517","604","173065"
"Uwem Akpan","Say You're One of Them","3.55","16190","337","100392"
"Chuck Hogan","Prince of Thieves","3.98","6186","526","137520"
"Kate Grenville","The Secret River","3.81","24368","332","112398"
"Oliver Pötzsch","The Hangman's Daughter","3.75","78524","470","134969"
"Portia de Rossi","Unbearable Lightness: A Story of Loss and Gain","3.83","41475","268","95634"
"Jeffrey Archer","Paths of Glory","4.01","20053","355","106113"
"Felix Gilman","The Half-Made World","3.76","4009","534","147962"
"Sudhir Venkatesh","Gang Leader for a Day: A Rogue Sociologist Takes to the Streets","4.07","24916","317","92573"
"Blake Crouch","Desert Places","3.74","8614","253","71554"
"Eric van Lustbader","The Bourne Objective","4.07","19415","490","134597"
"Lauren Beukes","Zoo City","3.62","11478","337","90101"
"Tanya Huff","The Truth of Valor","4.11","4004","426","112064"
"John Katzenbach","The Wrong Man","3.85","4554","581","159535"
"Keith Donohue","Angels of Destruction: A Novel","","","381","119971"
"Heather Barbieri","The Lace Makers of Glenmara","3.57","5700","256","70811"
"Lola Shoneyin","The Secret Lives of Baba Segi's Wives","4.08","14788","227","72939"
"Seth Godin","Linchpin: Are You Indispensable?","3.83","46086","470","74735"
"Stacy Schiff","Cleopatra: A Life","3.73","120375","328","129744"
"Tatjana Soli","The Lotus Eaters","3.86","13264","852","139593"
"Truman Capote","Breakfast at Tiffany's","3.83","283277","82","26437"
"Neal Asher","The Technician","4.24","4252","503","144786"
"Gennifer Choldenko","Al Capone Shines My Shoes","4.01","8420","263","66799"
"M. K. Hobson","The Native Star","3.56","3675","468","125956"
"Samuel Beckett","Three Novels: Molloy, Malone Dies, the Unnamable","4.28","9262","497","190195"
"Ted Bell","Warlord","4.03","5433","595","156814"
"Henry David Thoreau","Walden and on the Duty of Civil Disobedience","3.94","38481","392","140517"
"Jan Guillou","Birth of the Kingdom","4.09","5689","497","161877"
"James Dashner","The Maze Runner","4.05","1618516","367","102442"
"Adaobi Tricia Nwaubani","I Do Not Come to You by Chance","3.93","3612","383","106375"
"Chris J. Randolph","Stars Rain Down","3.73","269","362","99602"
"Howard Marks","Mr. Nice","3.9","10736","575","173990"
"Mercedes Lackey","Alta","4.07","8516","435","139109"
"Arthur Golden","Memoirs of a Geisha","4.16","2067320","571","190168"
"Jake Adelstein","Tokyo Vice: An American Reporter on the Police Beat in Japan","3.91","16237","380","125820"
"Donald Ray Pollock","Knockemstiff","3.98","10755","187","61458"
"Jamie Ford","Hotel on the Corner of Bitter and Sweet","4.05","309580","318","94819"
"Lauren Belfer","A Fierce Radiance","3.69","3574","571","168248"
"John Grogan","Marley & Me: Life and Love With the World's Worst Dog","4.14","474647","268","91099"
"Simon Scarrow","Young Bloods","4.19","3624","662","192121"
"Theodore Dreiser","Sister Carrie","3.77","41110","604","170719"
"Brian Keene","Darkness on the Edge of Town","3.67","3967","265","74005"
"Nathan Englander","The Ministry of Special Cases","3.68","3279","389","110458"
"Pierre Choderlos de Laclos","Dangerous Liaisons","4.05","56445","502","168057"
"Paul Hoffman","The Left Hand of God","3.65","18938","415","121582"
"Anna Quindlen","Object Lessons","3.83","8808","307","96644"
"Michael Davis","Street Gang: The Complete History of Sesame Street","3.66","3412","530","163047"
"Ingrid Betancourt","Even Silence Has an End: My Six Years of Captivity in the Colombian Jungle","3.99","4937","672","208694"
"Barbara O'Neal","The Lost Recipe for Happiness","3.99","8625","388","108729"
"Derek Landy","Skulduggery Pleasant","4.18","70554","310","71604"
"Derek Landy","Playing With Fire","4.29","33863","279","63881"
"Arthur Herman","How the Scots Invented the Modern World: The True Story of How Western Europe's Poorest Nation Created Our World & Everything in It","3.94","6512","511","163775"
"Oscar Wilde","De Profundis","4.22","23691","140","57232"
"Fernando Pessoa","The Book of Disquiet","4.4","34771","589","180401"
"C. J. Box","Nowhere to Run","4.3","20990","329","90467"
"Mihály Csíkszentmihályi","Creativity: Flow and the Psychology of Discovery and Invention","4.07","5836","475","171636"
"Jonathan Franzen","Freedom","3.79","172418","706","210626"
"Gaile Parkin","Baking Cakes in Kigali","3.69","6795","319","94956"
"Johan Theorin","The Darkest Room","3.84","6183","263","114955"
"Guy Sajer","The Forgotten Soldier","4.38","11703","659","204330"
